genre;id;length;avg l;stdev;stdev pc;amp;amp pc
Speech;a112ad1b;358725;13286;2045;0.1539;11885;0.8945
Krautrock;a112b50a;359325;35932;23417;0.6517;81853;2.2779
Oldies;a112b91d;359625;12400;2577;0.2078;11366;0.9165
Data;a204685d;84750;911;745;0.8177;6876;7.5453
Data;a206750d;124125;8275;5217;0.6305;24298;2.9363
Country;a2068920;125625;3925;1930;0.4917;7470;1.9028
Data;a206ea0c;132900;11075;4123;0.3723;10119;0.9136
Rock;a207440d;139650;10742;1430;0.1331;5494;0.5114
Easy;a207600c;141750;11812;1582;0.1340;6851;0.5799
Country;a207750c;143325;11943;3149;0.2637;11192;0.9370
Rock;a207980c;145950;12162;2340;0.1924;8220;0.6758
Latin;a207eb0c;152175;12681;1734;0.1367;6358;0.5013
Indie;a207f30c;152775;12731;2497;0.1961;8951;0.7030
Hip;a208010d;153825;11832;5671;0.4793;17210;1.4544
Bolero;a2080d0c;154725;12893;1035;0.0803;3300;0.2559
;a2081d0c;155925;12993;4111;0.3163;18820;1.4483
;a2084b0c;159375;13281;1414;0.1065;5172;0.3894
Eurodance;a2089e0b;165600;15054;1347;0.0895;4145;0.2753
Jazz;a208a00b;165750;15068;7796;0.5174;29150;1.9345
Folk;a208c10c;168300;14025;2692;0.1919;8203;0.5848
Narodne;a208c40c;168450;14037;1882;0.1341;6783;0.4832
Christmas;a208c70b;168675;15334;3267;0.2131;12215;0.7965
Soul;a208d50c;169725;14143;3767;0.2663;10526;0.7442
Jazz;a208d60c;169800;14150;1805;0.1275;5825;0.4116
Oldies;a208d90c;170025;14168;2309;0.1629;7283;0.5140
DRock;a208fe0c;172800;14400;2386;0.1656;8480;0.5888
Pop;a209090c;173625;14468;2733;0.1889;11194;0.7736
Other;a2090c0b;173850;15804;6736;0.4262;20748;1.3127
Indie;a2090d0c;173925;12423;5398;0.4345;18300;1.4730
Electronic;a2090f0d;174075;13390;7024;0.5246;22163;1.6551
Nederhop;a2091b0d;174975;13459;7745;0.5754;23563;1.7506
Country;a2092a0c;176100;14675;1817;0.1238;6371;0.4341
;a2092b0c;176175;14681;2400;0.1634;8257;0.5624
Psychedelic;a2092d0d;176325;13563;5701;0.4203;21370;1.5755
;a209360b;177000;16090;3684;0.2289;14657;0.9108
Soul;a209380c;177150;14762;2389;0.1618;8540;0.5784
Rock;a2093a0c;177300;14775;3882;0.2627;13860;0.9380
Pop;a209400c;177750;14812;2202;0.1486;6095;0.4114
Vocal;a2094c0e;178650;12760;1938;0.1519;6565;0.5144
Data;a2094d0c;178725;14893;4974;0.3339;16052;1.0777
Rock;a2094e0b;178800;16254;2197;0.1351;7800;0.4798
Pop;a2094e0c;178800;14900;1914;0.1284;5827;0.3910
Folk;a209540b;179250;16295;3878;0.2379;16750;1.0278
