genre;id;length;avg l;stdev;stdev pc;amp;amp pc
Reggae;3705b205;109500;21900;5948;0.2716;16257;0.7423
R;3705b605;109800;21960;5820;0.2650;13517;0.6155
Electronic;3705c005;110550;22110;2915;0.1318;7934;0.3588
;37061406;116850;19475;4793;0.2461;13749;0.7059
Dance;37064005;120150;24030;14405;0.5994;43248;1.7997
Reggae;37064705;120675;24135;8661;0.3588;19671;0.8150
Lo;37066c05;123450;24690;3854;0.1561;10938;0.4430
Rockstedy;37068305;125175;25035;5917;0.2363;16862;0.6735
Reggae;3706c105;129825;25965;5885;0.2266;14225;0.5478
Rap;3706d405;131250;26250;1035;0.0394;2648;0.1008
Reggae;37074705;139875;17484;13863;0.7929;31967;1.8283
Calypso;37075e06;141600;23600;2468;0.1045;7520;0.3186
Hard;3707b405;148050;29610;4790;0.1617;11625;0.3926
Metal;3707fc06;153450;25575;4518;0.1766;13721;0.5365
Rap;37081804;155550;38887;27972;0.7193;71575;1.8405
Reggae;3708d306;169575;28262;7785;0.2754;22855;0.8086
Rock;37095f05;180075;36015;17025;0.4727;45523;1.2640
;37098406;182850;30475;5201;0.1706;15036;0.4933
Rock;3709c405;187650;37530;27409;0.7303;70458;1.8773
Jazz;370ab005;205350;41070;8764;0.2134;26962;0.6564
Prog;370ad304;207975;51993;36917;0.7100;97970;1.8842
Reggaeton;370cac2c;243450;5532;5989;1.0824;16014;2.8942
;370d2b05;252975;50595;41688;0.8239;108446;2.1434
General;370d8115;259425;12353;1769;0.1432;6686;0.5412
Reggae;370d9d15;261525;12453;3682;0.2957;17271;1.3868
Classical;370e5005;274950;54990;11677;0.2123;34285;0.6234
Reggae;370eac13;281850;14834;421;0.0283;1556;0.1048
Reggae;370ee417;286050;12436;2702;0.2173;9716;0.7812
Reggae;370ef817;287550;12502;1683;0.1346;7507;0.6004
Reggae;370f1215;289500;13785;3525;0.2557;19531;1.4167
Reggae;370f7f14;297675;14883;1687;0.1133;8113;0.5450
Reggae;370f8613;298200;15694;1519;0.0968;6102;0.3887
Acapella;370fdf16;304875;13857;1273;0.0919;5095;0.3676
;370fe614;305400;14542;4369;0.3004;22559;1.5512
Rock;37101015;308550;14692;2276;0.1549;10255;0.6979
Euro;37102114;309825;15491;1902;0.1227;8703;0.5618
Reggae;37103d15;311925;14853;2551;0.1717;11330;0.7627
Reggae;37104218;312300;13012;1825;0.1402;6797;0.5223
Dance;37105714;313875;15693;1574;0.1003;7171;0.4569
Reggae;37105d14;314325;15716;3065;0.1950;12435;0.7912
Reggae;37107e14;316800;15840;4513;0.2849;21031;1.3277
Reggae;3710a117;319425;13888;2867;0.2064;9963;0.7173
Rock;3710af14;320475;16023;3034;0.1893;14492;0.9044
Pop;3710c113;321825;16938;2914;0.1720;10828;0.6392
